exercise_name;Primary Muscle;library_id;exercise_video_link;exercise_description
Box Squats;Legs;203;https://www.youtube.com/watch?v=rRihE4weYg4&pp=ygUKQm94IFNxdWF0cw%3D%3D;Squat onto a box or platform for controlled depth.
Box/Tuck Jump;Legs;204;https://www.youtube.com/watch?v=MdlpB3LEBVI&pp=ygUNQm94L1R1Y2sgSnVtcA%3D%3D;Perform tuck jump while jumping onto a box or platform.
Broad Jump;Legs;205;https://www.youtube.com/watch?v=uhz-ia-2UcM&pp=ygUKQnJvYWQgSnVtcA%3D%3D;Jump forward explosively for lower body power and agility.
Broad Jump, Hustle Back;Legs;206;https://www.youtube.com/watch?v=w3KaX9dBCfQ&pp=ygUXQnJvYWQgSnVtcCwgSHVzdGxlIEJhY2s%3D;Jump forward and quickly return for agility and conditioning.
Bulgarian Lunge;Legs;207;https://www.youtube.com/watch?v=HBYGeyb4sSM&pp=ygUPQnVsZ2FyaWFuIEx1bmdl;Perform lunges with one foot elevated for leg engagement.
Bulgarian Split Squat;Legs;208;https://www.youtube.com/watch?v=hPlKPjohFS0&pp=ygUVQnVsZ2FyaWFuIFNwbGl0IFNxdWF0;Perform split squats with rear foot elevated for leg work.
Bulgarian Squat;Legs;209;https://www.youtube.com/shorts/wtGCCaPg5gE;Squat with one foot elevated for added challenge.
Bulgarian Squat w/ Tempo;Legs;210;https://www.youtube.com/shorts/F810QU8BnZA;Perform Bulgarian squat with controlled tempo for muscle engagement.
Burpee;Full Body;211;https://www.youtube.com/watch?v=auBLPXO8Fww&pp=ygUGQnVycGVl;Combine squat, push-up, and jump for full body conditioning.
Burpee Plank Jack to Jump Jack;Full Body;212;https://www.youtube.com/shorts/dN63yXNfgKY;Transition from plank to jump jack in burpee for cardio workout.
Burpee Push-Up to Break Dancer;Full Body;213;https://www.youtube.com/shorts/qNQfmbHvFHk;Combine push-up and breakdancer move in burpee for dynamic workout.
Burpee Push-Ups;Full Body;214;https://www.youtube.com/watch?v=Qe9aeEfgQTM&pp=ygUPQnVycGVlIFB1c2gtVXBz;Perform push-ups in burpee for added upper body engagement.
Burpee to Jump Lunge;Full Body;215;https://www.youtube.com/watch?v=igd9QiZvEMo&pp=ygUUQnVycGVlIHRvIEp1bXAgTHVuZ2U%3D;Transition from burpee to jump lunge for dynamic movement.
Burpee Without Pushup;Full Body;216;https://www.youtube.com/watch?v=HfV1UBKzQTo&pp=ygUVQnVycGVlIFdpdGhvdXQgUHVzaHVw;Perform burpee without push-up for modified intensity.
Burpees;Full Body;217;https://www.youtube.com/watch?v=auBLPXO8Fww&pp=ygUHQnVycGVlcw%3D%3D;Combine squat, push-up, and jump for intense full body workout.
Butt Kicks;Legs, Cardio;218;https://www.youtube.com/watch?v=JsxQNiaX43g&pp=ygUKQnV0dCBLaWNrcw%3D%3D;Jog in place while kicking heels up to engage lower body.
Butterfly and Spinal Twist;Stretch;219;https://www.youtube.com/watch?v=orflHFw3icE&pp=ygUaQnV0dGVyZmx5IGFuZCBTcGluYWwgVHdpc3Q%3D;Combine butterfly stretch with spinal twist for flexibility.
Butterfly Crunches;Core;220;https://www.youtube.com/watch?v=Y8FaGgeTvoQ&pp=ygUSQnV0dGVyZmx5IENydW5jaGVz;Perform crunches in butterfly stretch position for ab engagement.
Butterfly Kicks;Core;221;https://www.youtube.com/watch?v=es9UHMkVv5k&pp=ygUPQnV0dGVyZmx5IEtpY2tz;Engage core and lower body with flutter kicks in butterfly position.
Butterfly Sit Up;Core;222;https://www.youtube.com/watch?v=5VbyA9P2eLc&pp=ygUQQnV0dGVyZmx5IFNpdCBVcA%3D%3D;Perform sit-ups with butterfly stretch for flexibility and core work.
Butterfly Stretch;Stretch;223;https://www.youtube.com/watch?v=4J7kbCmPScQ&pp=ygURQnV0dGVyZmx5IFN0cmV0Y2g%3D;Stretch inner thighs and hips by bringing feet together and bending knees.
Cable Abduction;Legs;224;https://www.youtube.com/watch?v=EHq78mQYLbI&pp=ygUPQ2FibGUgQWJkdWN0aW9u;Use cable machine to perform leg abductions for outer thigh engagement.
Cable Bar Biceps Curl;Arms;225;https://www.youtube.com/watch?v=NFzTWp2qpiE&pp=ygUVQ2FibGUgQmFyIEJpY2VwcyBDdXJs;Curl bar attached to cable machine to work biceps.
Cable Behind the Neck Lat Pulldown;Back;226;https://www.youtube.com/watch?v=5I_ejzeq9m0&pp=ygUiQ2FibGUgQmVoaW5kIHRoZSBOZWNrIExhdCBQdWxsZG93bg%3D%3D;Perform lat pulldowns using cable machine behind the neck.
Cable Bicep Curls;Arms;227;https://www.youtube.com/watch?v=NFzTWp2qpiE&pp=ygURQ2FibGUgQmljZXAgQ3VybHM%3D;Curl cables to target biceps using cable machine.
Cable Chest Fly;Chest;228;https://www.youtube.com/watch?v=mLgYNdxj-Vw&pp=ygUPQ2FibGUgQ2hlc3QgRmx5;Engage chest muscles with cable fly motion.
Cable Chest Press (Seated);Chest;229;https://www.youtube.com/watch?v=tAILewhtCb0&pp=ygUaQ2FibGUgQ2hlc3QgUHJlc3MgKFNlYXRlZCk%3D;Press cables while seated to target chest muscles.
Cable Chest Press (Standing);Chest;230;https://www.youtube.com/watch?v=FVWJglwid4I&pp=ygUcQ2FibGUgQ2hlc3QgUHJlc3MgKFN0YW5kaW5nKQ%3D%3D;Perform standing cable chest presses for chest engagement.
Cable Crossover;Chest;231;https://www.youtube.com/watch?v=taI4XduLpTk&pp=ygUPQ2FibGUgQ3Jvc3NvdmVy;Perform cable crossovers for chest and upper body engagement.
Cable Curls;Arms;232;https://www.youtube.com/watch?v=NFzTWp2qpiE&pp=ygULQ2FibGUgQ3VybHM%3D;Curl cables using various attachments for biceps.
Cable Deadlifts;Back, Legs;233;https://www.youtube.com/watch?v=_4U_5JO3oiE&pp=ygUPQ2FibGUgRGVhZGxpZnRz;Perform deadlifts using cable machine for leg and back work.
Cable Decline Bench Triceps Extension;Chest, Triceps;234;https://www.youtube.com/watch?v=vVM2JlDliDg&pp=ygUlQ2FibGUgRGVjbGluZSBCZW5jaCBUcmljZXBzIEV4dGVuc2lvbg%3D%3D;Engage triceps with decline bench triceps extensions using cables.
Cable External Rotation at 30 Degrees Abduction;Shoulders;235;https://www.youtube.com/watch?v=jRry9lKQRGo&pp=ygUvQ2FibGUgRXh0ZXJuYWwgUm90YXRpb24gYXQgMzAgRGVncmVlcyBBYmR1Y3Rpb24%3D;Engage rotator cuff with cable external rotation at 30 degrees.
Cable External Rotation at 90 Degrees Abduction;Shoulders;236;https://www.youtube.com/watch?v=D5QdEQyhmVM&pp=ygUvQ2FibGUgRXh0ZXJuYWwgUm90YXRpb24gYXQgOTAgRGVncmVlcyBBYmR1Y3Rpb24%3D;Perform cable external rotation at 90 degrees for shoulder health.
Cable External Rotation on Knee;Shoulders;237;https://www.youtube.com/watch?v=JlxndP60w8E&pp=ygUfQ2FibGUgRXh0ZXJuYWwgUm90YXRpb24gb24gS25lZQ%3D%3D;Perform external rotation using cables while on knees.
Cable Face Pull;Shoulders;238;https://www.youtube.com/watch?v=V8dZ3pyiCBo&pp=ygUPQ2FibGUgRmFjZSBQdWxs;Target rear delts and upper back with cable face pulls.
Cable Flat Bench Fly;Chest;239;https://www.youtube.com/watch?v=D04sUKQi85Y&pp=ygUUQ2FibGUgRmxhdCBCZW5jaCBGbHk%3D;Perform cable flyes on flat bench to target chest muscles.
Cable Flat Bench Triceps Extension;Chest, Triceps;240;https://www.youtube.com/watch?v=MwfWEn04I8I&pp=ygUiQ2FibGUgRmxhdCBCZW5jaCBUcmljZXBzIEV4dGVuc2lvbg%3D%3D;Engage triceps with cable triceps extensions on flat bench.
Cable Front Raise;Shoulders;241;https://www.youtube.com/watch?v=fqUgPii8Nm8&pp=ygURQ2FibGUgRnJvbnQgUmFpc2U%3D;Lift cables in front to target shoulder muscles.
Cable Front Raise (Rope);Shoulders;242;https://www.youtube.com/watch?v=PmXz2Ik-On4&pp=ygUYQ2FibGUgRnJvbnQgUmFpc2UgKFJvcGUp;Use rope attachment to perform front raises for shoulders.
Cable Hammer Curl;Arms;243;https://www.youtube.com/watch?v=laKjkStPiWE&pp=ygURQ2FibGUgSGFtbWVyIEN1cmw%3D;Perform hammer curls using cables for biceps work.
Cable Incline Bench Biceps Curl;Arms;244;https://www.youtube.com/watch?v=Vzmc5bOmAYs&pp=ygUfQ2FibGUgSW5jbGluZSBCZW5jaCBCaWNlcHMgQ3VybA%3D%3D;Curl cables while on incline bench for biceps engagement.
Cable Incline Bench Fly;Chest;245;https://www.youtube.com/watch?v=GtHNC-5GtR0&pp=ygUXQ2FibGUgSW5jbGluZSBCZW5jaCBGbHk%3D;Engage chest muscles with incline bench cable flyes.
Cable Incline Bench Press;Chest;246;https://www.youtube.com/watch?v=GtHNC-5GtR0&pp=ygUZQ2FibGUgSW5jbGluZSBCZW5jaCBQcmVzcw%3D%3D;Perform incline bench presses using cable machine.
Cable Incline Bench Triceps Extension;Chest, Triceps;247;https://www.youtube.com/watch?v=DBiWdDx99ms&pp=ygUlQ2FibGUgSW5jbGluZSBCZW5jaCBUcmljZXBzIEV4dGVuc2lvbg%3D%3D;Target triceps with incline bench cable triceps extensions.
Cable Kickback;Legs;248;https://www.youtube.com/watch?v=ifP5sFBT7IE&pp=ygUOQ2FibGUgS2lja2JhY2s%3D;Perform kickbacks using cable machine for glute activation.
Cable Lat Pull-down;Back;249;https://www.youtube.com/watch?v=CAwf7n6Luuc&pp=ygUTQ2FibGUgTGF0IFB1bGwtZG93bg%3D%3D;Engage upper back with cable lat pull-downs.
Cable Lateral Kicks;Legs;250;https://www.youtube.com/watch?v=JcRnAtNN7vs&pp=ygUTQ2FibGUgTGF0ZXJhbCBLaWNrcw%3D%3D;Perform lateral kicks using the cable machine for leg work.
Cable Lateral Raise;Shoulders;251;https://www.youtube.com/shorts/EZSAOY7b3g4;Lift cables to the side to engage lateral deltoids.
Cable Narrow-Grip Lat Pull-Down;Back;252;https://www.youtube.com/watch?v=gZr4wiQTfMM&pp=ygUfQ2FibGUgTmFycm93LUdyaXAgTGF0IFB1bGwtRG93bg%3D%3D;Perform lat pull-downs with a narrow grip using the cable machine.
Cable One-Arm Lat Pull-Down;Back;253;https://www.youtube.com/watch?v=0BT533ueEdI&pp=ygUbQ2FibGUgT25lLUFybSBMYXQgUHVsbC1Eb3du;Engage lats with a one-arm lat pull-down using the cable machine.
Cable One-Arm Overhead Triceps Extension;Triceps;254;https://www.youtube.com/watch?v=FE_AsjcTImc&pp=ygUoQ2FibGUgT25lLUFybSBPdmVyaGVhZCBUcmljZXBzIEV4dGVuc2lvbg%3D%3D;Target triceps with a one-arm overhead extension using cables.
Cable One-Arm Row (Seated);Back;255;https://www.youtube.com/watch?v=CrylzZHfO1c&pp=ygUaQ2FibGUgT25lLUFybSBSb3cgKFNlYXRlZCk%3D;Perform seated one-arm rows using the cable machine.
Cable One-Legged Kickback;Legs;256;https://www.youtube.com/watch?v=ifP5sFBT7IE&pp=ygUZQ2FibGUgT25lLUxlZ2dlZCBLaWNrYmFjaw%3D%3D;Engage glutes with one-legged kickbacks using the cable machine.
Cable Overhead Curl;Arms;257;https://www.youtube.com/watch?v=5_n3gVeGEqc&pp=ygUTQ2FibGUgT3ZlcmhlYWQgQ3VybA%3D%3D;Curl cables overhead for biceps engagement.
Cable Overhead Tricep Extension;Triceps;258;https://www.youtube.com/watch?v=1u18yJELsh0&pp=ygUfQ2FibGUgT3ZlcmhlYWQgVHJpY2VwIEV4dGVuc2lvbg%3D%3D;Perform triceps extensions using cables overhead.
Cable Overhead Triceps Extension;Triceps;259;https://www.youtube.com/watch?v=GzmlxvSFE7A&pp=ygUgQ2FibGUgT3ZlcmhlYWQgVHJpY2VwcyBFeHRlbnNpb24%3D;Engage triceps with overhead triceps extensions using cables.
Cable Pull Through;Legs;260;https://www.youtube.com/watch?v=4oZ_0_bQcOg&pp=ygUSQ2FibGUgUHVsbCBUaHJvdWdo;Engage glutes and hamstrings with a cable pull-through movement.
Cable Pull-Down;Back;261;https://www.youtube.com/watch?v=AjCCGN2tU3Q&pp=ygUPQ2FibGUgUHVsbC1Eb3du;Perform lat pull-downs using the cable machine.
Cable Rear Delt Fly;Shoulders;262;https://www.youtube.com/watch?v=JENKmsEZQO8&pp=ygUTQ2FibGUgUmVhciBEZWx0IEZseQ%3D%3D;Target rear deltoids with cable rear delt flyes.
Cable Reverse-Grip Lat Pull-Down;Back;263;https://www.youtube.com/watch?v=D-aYXhHBDI8&pp=ygUgQ2FibGUgUmV2ZXJzZS1HcmlwIExhdCBQdWxsLURvd24%3D;Perform lat pull-downs with a reverse grip using the cable machine.
Cable Reverse-Grip Triceps Push-Down;Triceps;264;https://www.youtube.com/watch?v=7R88yqmcGrw&pp=ygUkQ2FibGUgUmV2ZXJzZS1HcmlwIFRyaWNlcHMgUHVzaC1Eb3du;Engage triceps with a reverse-grip triceps push-down using cables.
Cable Rope Biceps Curl;Arms;265;https://www.youtube.com/watch?v=Odz1T8WmDBI&pp=ygUWQ2FibGUgUm9wZSBCaWNlcHMgQ3VybA%3D%3D;Curl cables using the rope attachment to target biceps.
Cable Rope Seated High Row;Back;266;https://www.youtube.com/watch?v=dt7zkcKEAJo&pp=ygUaQ2FibGUgUm9wZSBTZWF0ZWQgSGlnaCBSb3c%3D;Perform seated high rows using the rope attachment and cables.
Cable Rope Triceps Push-Down;Triceps;267;https://www.youtube.com/watch?v=yUeuSjH2wqA&pp=ygUcQ2FibGUgUm9wZSBUcmljZXBzIFB1c2gtRG93bg%3D%3D;Target triceps with a rope triceps push-down using cables.
Cable Row (Seated);Back;268;https://www.youtube.com/watch?v=vwHG9Jfu4sw&pp=ygUSQ2FibGUgUm93IChTZWF0ZWQp;Perform seated rows using the cable machine.
Cable Shoulder Press (Seated);Shoulders;269;https://www.youtube.com/watch?v=fBTGwHChaf4&pp=ygUdQ2FibGUgU2hvdWxkZXIgUHJlc3MgKFNlYXRlZCk%3D;Press cables while seated for shoulder engagement.
Cable Squats;Legs;270;https://www.youtube.com/watch?v=nPrz-nyFKgU&pp=ygUMQ2FibGUgU3F1YXRz;Perform squats using the cable machine for added resistance.
Cable Standing Shoulder Press (Standing);Shoulders;271;https://www.youtube.com/watch?v=QFHIkW3vbfI&pp=ygUoQ2FibGUgU3RhbmRpbmcgU2hvdWxkZXIgUHJlc3MgKFN0YW5kaW5nKQ%3D%3D;Press cables overhead while standing to target shoulders.
Cable Straight-Arm Pull-Down;Back;272;https://www.youtube.com/watch?v=wcVDItawocI&pp=ygUcQ2FibGUgU3RyYWlnaHQtQXJtIFB1bGwtRG93bg%3D%3D;Engage lats with straight-arm pull-downs using cables.
Cable Straight-Bar Triceps Push-Down;Triceps;273;https://www.youtube.com/watch?v=Vwf9n6TwF0g&pp=ygUkQ2FibGUgU3RyYWlnaHQtQmFyIFRyaWNlcHMgUHVzaC1Eb3du;Target triceps with a straight-bar push-down using cables.
Cable Upright Row;Shoulders;274;https://www.youtube.com/watch?v=9Q-j2tPu2Sk&pp=ygURQ2FibGUgVXByaWdodCBSb3c%3D;Perform upright rows using the cable machine for shoulders.
Cable V-Bar Triceps Push-Down;Triceps;275;https://www.youtube.com/watch?v=2-LAMcpzODU&pp=ygUdQ2FibGUgVi1CYXIgVHJpY2VwcyBQdXNoLURvd24%3D;Engage triceps with a V-bar push-down using cables.
Cable Wide-Grip Lat Pull-Down;Back;276;https://www.youtube.com/watch?v=lueEJGjTuPQ&pp=ygUdQ2FibGUgV2lkZS1HcmlwIExhdCBQdWxsLURvd24%3D;Perform lat pull-downs with a wide grip using the cable machine.
Calf Stretch;Stretch;277;https://www.youtube.com/watch?v=YfjeXeiREic&pp=ygUMQ2FsZiBTdHJldGNo;Stretch and engage calf muscles with calf stretches.
Captain's Chair Knee Raise;Core;278;https://www.youtube.com/watch?v=711U6NbJRmc&pp=ygUaQ2FwdGFpbidzIENoYWlyIEtuZWUgUmFpc2U%3D;Engage core with knee raises on a captain's chair apparatus.
Cat Cows;Core;279;https://www.youtube.com/watch?v=KpNznspZZEY&pp=ygUIQ2F0IENvd3M%3D;Perform cat-cow stretches for spine flexibility and mobility.
Charlie's Angels Abs;Core;280;https://www.youtube.com/watch?v=VZltbTn_X5U&pp=ygUUQ2hhcmxpZSdzIEFuZ2VscyBBYnM%3D;"Engage core with ""Charlie's Angels"" ab exercises."
Chest Dips;Chest, Triceps;281;https://www.youtube.com/watch?v=dX_nSOOJIsE&pp=ygUKQ2hlc3QgRGlwcw%3D%3D;Perform dips to target chest and triceps muscles.
Chest Fly Dead Bugs;Core, Chest;282;https://www.youtube.com/shorts/5M_MYQ9nhN8;Engage chest with fly motion while performing dead bug movement.
Chest Fly Machine;Chest;283;https://www.youtube.com/watch?v=u56jywgbvE4&pp=ygURQ2hlc3QgRmx5IE1hY2hpbmU%3D;Use the fly machine to engage chest muscles with fly motion.
Chest Medicine Ball Throws;Chest;284;https://www.youtube.com/shorts/kKki4IPqWso;Perform medicine ball throws to engage chest and core.
Chest Opener Knee Raise;Chest;285;https://www.youtube.com/shorts/UqmbxvOgnX4;Engage chest muscles while performing knee raises.
Chest Press + Hollow Hold;Chest, Core;286;https://www.youtube.com/watch?v=aXkLkMSfwrg&pp=ygUZQ2hlc3QgUHJlc3MgKyBIb2xsb3cgSG9sZA%3D%3D;Combine chest presses with a hollow hold for core engagement.
Chest Press Machine;Chest;287;https://www.youtube.com/watch?v=mlXTzUUR9AE&pp=ygUTQ2hlc3QgUHJlc3MgTWFjaGluZQ%3D%3D;Perform chest presses using a machine for chest engagement.
Chest Press w/ Dead Bug Legs;Chest, Core;288;https://www.youtube.com/watch?v=NrfJODuEXHo&pp=ygUcQ2hlc3QgUHJlc3Mgdy8gRGVhZCBCdWcgTGVncw%3D%3D;Engage core while performing chest presses with dead bug leg motion.
Chest Supported Dumbbell Row;Back;289;https://www.youtube.com/watch?v=ym-Mp8tCF00&pp=ygUcQ2hlc3QgU3VwcG9ydGVkIER1bWJiZWxsIFJvdw%3D%3D;Perform rows with chest support to engage back muscles.
Chest Supported Machine Row;Back;290;https://www.youtube.com/watch?v=9WwRJQ003hU&pp=ygUbQ2hlc3QgU3VwcG9ydGVkIE1hY2hpbmUgUm93;Engage back muscles with chest-supported machine rows.
Chest-Supported Dumbbell Row;Back;291;https://www.youtube.com/watch?v=ym-Mp8tCF00&pp=ygUWQ2hlc3Qtc3VwcG9ydGVkIERCIFJvdw%3D%3D;Engage back muscles with chest-supported dumbbell rows.
Chin Ups;Back, Biceps;292;https://www.youtube.com/watch?v=mRy9m2Q9_1I&pp=ygUIQ2hpbiBVcHM%3D;Perform chin-ups to engage biceps and back muscles.
Chops w/ Ball;Core;293;https://www.youtube.com/watch?v=EygfY8ByyhQ&pp=ygUNQ2hvcHMgdy8gQmFsbA%3D%3D;Use a ball for chopping motion to engage core and obliques.
Clamshell;Hips;294;https://www.youtube.com/watch?v=CiqvDV8pzRk&pp=ygUJQ2xhbXNoZWxs;Engage hip muscles with clamshell exercises.
Close Grip Bench Press;Chest, Triceps;295;https://www.youtube.com/watch?v=vEUyEOVn3yM&pp=ygUbICAgCSBDbG9zZSBHcmlwIEJlbmNoIFByZXNz;Perform bench presses with a close grip for triceps engagement.
Close Grip Incline Bench Press;Chest, Triceps;296;https://www.youtube.com/watch?v=sVr4fZOVr34&pp=ygUeQ2xvc2UgR3JpcCBJbmNsaW5lIEJlbmNoIFByZXNz;Perform incline bench presses with a close grip for triceps.
Close Grip Pulldown;Back;297;https://www.youtube.com/watch?v=gZr4wiQTfMM&pp=ygUTQ2xvc2UgR3JpcCBQdWxsZG93bg%3D%3D;Engage lats with a close grip pulldown movement.
Contralateral Clean to Press;Full Body;298;https://www.youtube.com/watch?v=egMfgzQbykY&pp=ygUcQ29udHJhbGF0ZXJhbCBDbGVhbiB0byBQcmVzcw%3D%3D;Perform a clean to press movement on alternate sides for power.
Contralateral Overhead Reverse Lunge;Legs;299;https://www.youtube.com/watch?v=qhlGekPq-8s&pp=ygUkQ29udHJhbGF0ZXJhbCBPdmVyaGVhZCBSZXZlcnNlIEx1bmdl;Perform reverse lunge with overhead reach on opposite side.
Contralateral Single Leg Deadlift;Legs;300;https://www.youtube.com/watch?v=rQiTDw_NeR0&pp=ygUhQ29udHJhbGF0ZXJhbCBTaW5nbGUgTGVnIERlYWRsaWZ0;Engage hamstrings and glutes with single-leg deadlift on opposite side.
Contralateral Snatch;Full Body;301;https://www.youtube.com/watch?v=hpmrK0pUVGw&pp=ygUUQ29udHJhbGF0ZXJhbCBTbmF0Y2g%3D;Perform snatch movement on opposite side for power and coordination.
Cossack Squat;Legs;302;https://www.youtube.com/watch?v=dhDjKmTX8tU&pp=ygUNQ29zc2FjayBTcXVhdA%3D%3D;Engage inner thighs with side-to-side cossack squats.
Couch Stretch;Stretch;303;https://www.youtube.com/watch?v=fHKndvWwenc&pp=ygUNQ291Y2ggU3RyZXRjaA%3D%3D;Stretch hip flexors and quads using the couch stretch.
Criss Cross Jumping Jacks;Cardio;304;https://www.youtube.com/watch?v=lF1vpdVQsUU&pp=ygUZQ3Jpc3MgQ3Jvc3MgSnVtcGluZyBKYWNrcw%3D%3D;Combine jumping jacks with criss-cross feet motion.
Cross Body Cable Tricep Extension;Triceps;305;https://www.youtube.com/watch?v=TctfJadtxq0&pp=ygUhQ3Jvc3MgQm9keSBDYWJsZSBUcmljZXAgRXh0ZW5zaW9u;Engage triceps with cable extension across body.
Cross Body Sit-Ups;Core;306;https://www.youtube.com/watch?v=_eK01SNwob0&pp=ygUSQ3Jvc3MgQm9keSBTaXQtVXBz;Engage obliques with sit-ups incorporating cross-body motion.
Cross Jump Touch Down;Cardio;307;https://www.youtube.com/watch?v=xCazgyElCpg&pp=ygUVQ3Jvc3MgSnVtcCBUb3VjaCBEb3du;Perform jumps with cross-jump touch down for cardio and agility.
Cross-Body Lat Mobilization;Shoulders;308;https://www.youtube.com/watch?v=ToSAFXPU6Z4&pp=ygUbQ3Jvc3MtQm9keSBMYXQgTW9iaWxpemF0aW9u;Mobilize lats with cross-body lat stretches.
Crossbody Knee Drive;Core, Hips;309;https://www.youtube.com/shorts/CfjLu7GB938;Engage core and hip flexors with crossbody knee drives.
Crossbody Mountain Climbers;Core, Cardio;310;https://www.youtube.com/shorts/CfjLu7GB938;Perform mountain climbers with cross-body knee motion.
Curl to Press to Tricep Extension;Arms;311;https://www.youtube.com/shorts/G4x6LCrQE_E;Combine curl, press, and tricep extension for full-arm engagement.
Curtsey Lunge;Legs;312;https://www.youtube.com/watch?v=Ix_SFZVDy0I&pp=ygUNQ3VydHNleSBMdW5nZQ%3D%3D;Perform curtsey lunges to engage glutes and legs.
Curtsey Lunge with Pause;Legs;313;https://www.youtube.com/watch?v=cVYnf2CFO9M&pp=ygUYQ3VydHNleSBMdW5nZSB3aXRoIFBhdXNl;Engage glutes with curtsey lunges incorporating a pause.
Curtsy Lunge;Legs;314;https://www.youtube.com/watch?v=cVYnf2CFO9M&pp=ygUYQ3VydHNleSBMdW5nZSB3aXRoIFBhdXNl;Engage leg muscles with curtsy lunges.
DB Bulgarian Split Squat;Legs;315;https://www.youtube.com/watch?v=vLuhN_glFZ8&pp=ygUYREIgQnVsZ2FyaWFuIFNwbGl0IFNxdWF0;Perform split squats using dumbbells for leg engagement.
DB Calf Raise;Legs;316;https://www.youtube.com/watch?v=Xfe4ZqiKvnY&pp=ygUNREIgQ2FsZiBSYWlzZQ%3D%3D;Engage calves with dumbbell calf raises.
DB Chest Press;Chest;317;https://www.youtube.com/watch?v=VmB1G1K7v94&pp=ygUOREIgQ2hlc3QgUHJlc3M%3D;Perform dumbbell chest presses for chest engagement.
DB Cossack Squat;Legs;318;https://www.youtube.com/watch?v=twXorSeA0BM&pp=ygUQREIgQ29zc2FjayBTcXVhdA%3D%3D;Engage legs and glutes with dumbbell cossack squats.
DB Deficit Split Squat;Legs;319;https://www.youtube.com/shorts/IfvwciB5Rwc;Perform split squats with a deficit using dumbbells.
DB Farmer Walk;Full Body;320;https://www.youtube.com/watch?v=VBobkldqqvk&pp=ygUOREIgRmFybWVyIFdhbGs%3D;Engage grip and core while walking with dumbbells.
DB Flat Chest Fly;Chest;321;https://www.youtube.com/watch?v=eozdVDA78K0&pp=ygURREIgRmxhdCBDaGVzdCBGbHk%3D;Engage chest muscles with dumbbell fly motion.
DB Flat Chest Press;Chest;322;https://www.youtube.com/watch?v=QsYre__-aro&pp=ygUTREIgRmxhdCBDaGVzdCBQcmVzcw%3D%3D;Perform dumbbell chest presses for chest engagement.
DB Forward Lunges;Legs;323;https://www.youtube.com/watch?v=t7DBjlOTwAk&pp=ygURREIgRm9yd2FyZCBMdW5nZXM%3D;Engage legs and glutes with forward lunges using dumbbells.
DB Frog Pump;Glutes;324;https://www.youtube.com/watch?v=MQ62r2V7Lw8&pp=ygUMREIgRnJvZyBQdW1w;Engage glutes and legs with frog pump using dumbbells.
DB Front Foot Elevated Squat;Legs;325;https://www.youtube.com/watch?v=OFmW8Re5Zos&pp=ygUcREIgRnJvbnQgRm9vdCBFbGV2YXRlZCBTcXVhdA%3D%3D;Perform squats with the front foot elevated using dumbbells.
DB Glute Bridge;Glutes;326;https://www.youtube.com/watch?v=FSiUH5jn3Cs&pp=ygUPREIgR2x1dGUgQnJpZGdl;Engage glutes with dumbbell glute bridges.
DB Goblet Squat;Legs;327;https://www.youtube.com/watch?v=Xjo_fY9Hl9w&pp=ygUPREIgR29ibGV0IFNxdWF0;Engage legs and glutes with dumbbell goblet squats.
DB Incline Bench Reverse Fly;Shoulders, Back;328;https://www.youtube.com/watch?v=WCvRMULhUVU&pp=ygUcREIgSW5jbGluZSBCZW5jaCBSZXZlcnNlIEZseQ%3D%3D;Engage rear deltoids with incline bench reverse flyes using dumbbells.
DB Incline Bench Row;Back;329;https://www.youtube.com/watch?v=x6nEPnQ37FQ&pp=ygUUREIgSW5jbGluZSBCZW5jaCBSb3c%3D;Engage back muscles with incline bench rows using dumbbells.
DB Incline Bicep Curls;Arms;330;https://www.youtube.com/watch?v=soxrZlIl35U&pp=ygUWREIgSW5jbGluZSBCaWNlcCBDdXJscw%3D%3D;Curl dumbbells while on incline bench to target biceps.
DB Incline Chest Press;Chest;331;https://www.youtube.com/watch?v=8iPEnn-ltC8&pp=ygUWREIgSW5jbGluZSBDaGVzdCBQcmVzcw%3D%3D;Perform incline chest presses using dumbbells for chest engagement.
DB Incline Hammer Curls;Arms;332;https://www.youtube.com/watch?v=cbRSu8Ws_hs&pp=ygUXREIgSW5jbGluZSBIYW1tZXIgQ3VybHM%3D;Engage biceps with incline hammer curls using dumbbells.
DB Incline Skull Crushers;Triceps;333;https://www.youtube.com/watch?v=osHzkwG-9JE&pp=ygUZREIgSW5jbGluZSBTa3VsbCBDcnVzaGVycw%3D%3D;Target triceps with incline skull crushers using dumbbells.
DB Lateral Raise;Shoulders;334;https://www.youtube.com/watch?v=XPPfnSEATJA&pp=ygUQREIgTGF0ZXJhbCBSYWlzZQ%3D%3D;Lift dumbbells to the side to engage lateral deltoids.
DB Leg Raises;Core;335;https://www.youtube.com/watch?v=PcDvVDIxvto&pp=ygUNREIgTGVnIFJhaXNlcw%3D%3D;Engage core with leg raises while holding dumbbells.
DB Pullovers;Back, Chest;336;https://www.youtube.com/watch?v=FK4rHfWKEac&pp=ygUMREIgUHVsbG92ZXJz;Perform dumbbell pullovers for back and chest engagement.
DB RDL;Legs;337;https://www.youtube.com/watch?v=hQgFixeXdZo&pp=ygUGREIgUkRM;Engage hamstrings and glutes with dumbbell Romanian deadlifts.
DB Reverse Flys;Shoulders, Back;338;https://www.youtube.com/watch?v=JoCRRZ3zRtI&pp=ygUPREIgUmV2ZXJzZSBGbHlz;Target rear deltoids with dumbbell reverse flyes.
